Date,PTE,period_from,period_until,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
2020-01-01,5,01:00,01:15,,,38.6,22.3,0,38.6,22.3,2
2020-01-01,6,01:15,01:30,,,32.93,,0,32.93,32.93,1
2020-01-01,7,01:30,01:45,,,30.3,,0,30.3,30.3,1
2020-01-01,8,01:45,02:00,,,32.93,,0,32.93,32.93,1
2020-01-01,9,02:00,02:15,,,31.25,,0,31.25,31.25,1
2020-01-01,10,02:15,02:30,,,32.75,,0,32.75,32.75,1
2020-01-01,11,02:30,02:45,,,28.92,,0,28.92,28.92,1
2020-01-01,12,02:45,03:00,,,,,0,28.99,28.99,0
2020-01-01,13,03:00,03:15,,,54.33,,0,54.33,54.33,1
2020-01-01,14,03:15,03:30,,,85.02,,0,85.02,85.02,1
2020-01-01,15,03:30,03:45,,,28.75,,0,28.75,28.75,1
2020-01-01,16,03:45,04:00,,,28.75,,0,28.75,28.75,1
2020-01-01,17,04:00,04:15,,,32.57,,0,32.57,32.57,1
2020-01-01,18,04:15,04:30,,,30.3,,0,30.3,30.3,1
2020-01-01,19,04:30,04:45,,,,,0,14.53,14.53,0
2020-01-01,20,04:45,05:00,,,,,0,14.53,14.53,0
2020-01-01,21,05:00,05:15,,,,,0,28.91,28.91,0
2020-01-01,22,05:15,05:30,,,,,0,28.91,28.91,0
2020-01-01,23,05:30,05:45,,,31.0,,0,31.0,31.0,1
2020-01-01,24,05:45,06:00,,,31.0,,0,31.0,31.0,1
2020-01-01,25,06:00,06:15,,,,,0,28.91,28.91,0
2020-01-01,26,06:15,06:30,,,,,0,28.91,28.91,0
2020-01-01,27,06:30,06:45,,,29.77,,0,29.77,29.77,1
2020-01-01,28,06:45,07:00,,,29.5,,0,29.5,29.5,1
2020-01-01,29,07:00,07:15,,,29.5,,0,29.5,29.5,1
2020-01-01,30,07:15,07:30,,,29.5,,0,29.5,29.5,1
2020-01-01,31,07:30,07:45,,,29.5,,0,29.5,29.5,1
2020-01-01,32,07:45,08:00,,,29.77,,0,29.77,29.77,1
2020-01-01,33,08:00,08:15,,,0.0,,0,0.0,0.0,1
2020-01-01,34,08:15,08:30,,,,,0,14.53,14.53,0
2020-01-01,35,08:30,08:45,,,,,0,14.53,14.53,0
2020-01-01,36,08:45,09:00,,,,,0,14.53,14.53,0
2020-01-01,37,09:00,09:15,,,,20.52,0,20.52,20.52,-1
2020-01-01,38,09:15,09:30,,,,25.77,0,25.77,25.77,-1
2020-01-01,39,09:30,09:45,,,,,0,14.53,14.53,0
2020-01-01,40,09:45,10:00,,,,,0,14.53,14.53,0
2020-01-01,41,10:00,10:15,,,,,0,14.53,14.53,0
2020-01-01,42,10:15,10:30,,,,,0,14.53,14.53,0
2020-01-01,43,10:30,10:45,,,33.25,,0,33.25,33.25,1
2020-01-01,44,10:45,11:00,,,37.77,,0,37.77,37.77,1
2020-01-01,45,11:00,11:15,,,38.03,,0,38.03,38.03,1
2020-01-01,46,11:15,11:30,,,33.77,,0,33.77,33.77,1
2020-01-01,47,11:30,11:45,,,37.77,,0,37.77,37.77,1
2020-01-01,48,11:45,12:00,,,37.77,,0,37.77,37.77,1
2020-01-01,49,12:00,12:15,,,56.85,,0,56.85,56.85,1
2020-01-01,50,12:15,12:30,,,56.85,,0,56.85,56.85,1
2020-01-01,51,12:30,12:45,,,61.65,,0,61.65,61.65,1
2020-01-01,52,12:45,13:00,,,38.03,,0,38.03,38.03,1
2020-01-01,53,13:00,13:15,,,33.25,,0,33.25,33.25,1
2020-01-01,54,13:15,13:30,,,33.25,,0,33.25,33.25,1
2020-01-01,55,13:30,13:45,,,38.03,,0,38.03,38.03,1
2020-01-01,56,13:45,14:00,,,33.77,,0,33.77,33.77,1
2020-01-01,57,14:00,14:15,,,61.22,,0,61.22,61.22,1
2020-01-01,58,14:15,14:30,,,61.22,,0,61.22,61.22,1
2020-01-01,59,14:30,14:45,,,33.25,,0,33.25,33.25,1
2020-01-01,60,14:45,15:00,,,39.02,,0,39.02,39.02,1
2020-01-01,61,15:00,15:15,,,56.43,,0,56.43,56.43,1
2020-01-01,62,15:15,15:30,,,37.77,,0,37.77,37.77,1
2020-01-01,63,15:30,15:45,,,56.43,,0,56.43,56.43,1
2020-01-01,64,15:45,16:00,,,65.04,,0,65.04,65.04,1
2020-01-01,65,16:00,16:15,,,33.37,,0,33.37,33.37,1
2020-01-01,66,16:15,16:30,,,33.37,,0,33.37,33.37,1
2020-01-01,67,16:30,16:45,,,208.02,,0,208.02,208.02,1
2020-01-01,68,16:45,17:00,,,251.87,,0,251.87,251.87,1
2020-01-01,69,17:00,17:15,,,251.87,-129.6,0,-129.6,-129.6,-1
2020-01-01,70,17:15,17:30,,,,29.06,0,29.06,29.06,-1
2020-01-01,71,17:30,17:45,,,,,0,29.15,29.15,0
2020-01-01,72,17:45,18:00,*,,495.0,,0,495.0,495.0,1
2020-01-01,73,18:00,18:15,*,,365.22,,0,365.22,365.22,1
2020-01-01,74,18:15,18:30,*,,244.05,,0,244.05,244.05,1
2020-01-01,75,18:30,18:45,*,,244.05,,0,244.05,244.05,1
2020-01-01,76,18:45,19:00,*,,244.05,,0,244.05,244.05,1
2020-01-01,77,19:00,19:15,,,90.02,,0,90.02,90.02,1
2020-01-01,78,19:15,19:30,,,164.02,,0,164.02,164.02,1
2020-01-01,79,19:30,19:45,,,33.59,,0,33.59,33.59,1
2020-01-01,80,19:45,20:00,,,134.02,,0,134.02,134.02,1
2020-01-01,81,20:00,20:15,,,134.02,-54.35,0,-54.35,-54.35,-1
2020-01-01,82,20:15,20:30,,,32.02,-35.85,0,33.74,-35.85,2
2020-01-01,83,20:30,20:45,,,30.17,-54.35,0,33.74,-54.35,2
2020-01-01,84,20:45,21:00,,,30.17,-19.85,0,-19.85,-19.85,-1
2020-01-01,85,21:00,21:15,,,251.87,24.03,0,251.87,24.03,2
2020-01-01,86,21:15,21:30,,,39.02,,0,39.02,39.02,1
2020-01-01,87,21:30,21:45,,,,,0,29.16,29.16,0
2020-01-01,88,21:45,22:00,,,,,0,29.16,29.16,0
2020-01-01,89,22:00,22:15,,,157.02,,0,157.02,157.02,1
2020-01-01,90,22:15,22:30,,,31.43,,0,31.43,31.43,1
2020-01-01,91,22:30,22:45,,,31.43,,0,31.43,31.43,1
2020-01-01,92,22:45,23:00,,,29.93,,0,29.93,29.93,1
2020-01-01,93,23:00,23:15,,,,,0,28.91,28.91,0
2020-01-01,94,23:15,23:30,,,33.77,,0,33.77,33.77,1
2020-01-01,95,23:30,23:45,,,28.75,,0,28.75,28.75,1
2020-01-01,96,23:45,00:00,,,,21.77,0,21.77,21.77,-1
2020-01-02,1,00:00,00:15,,,,21.01,0,21.01,21.01,-1
2020-01-02,2,00:15,00:30,,,,-3.04,0,-3.04,-3.04,-1
2020-01-02,3,00:30,00:45,,,,23.78,0,23.78,23.78,-1
2020-01-02,4,00:45,01:00,,,,35.24,0,35.24,35.24,-1
2020-01-02,5,01:00,01:15,,,,25.01,0,25.01,25.01,-1
2020-01-02,6,01:15,01:30,,,,,0,31.82,31.82,0
2020-01-02,7,01:30,01:45,,,,,0,31.82,31.82,0
2020-01-02,8,01:45,02:00,,,,21.01,0,21.01,21.01,-1
2020-01-02,9,02:00,02:15,,,32.57,17.01,0,32.57,17.01,2
2020-01-02,10,02:15,02:30,,,33.39,,0,33.39,33.39,1
2020-01-02,11,02:30,02:45,,,29.01,22.06,0,29.01,22.06,2
2020-01-02,12,02:45,03:00,,,,15.72,0,15.72,15.72,-1
2020-01-02,13,03:00,03:15,,,,,0,28.57,28.57,0
2020-01-02,14,03:15,03:30,,,,25.01,0,25.01,25.01,-1
2020-01-02,15,03:30,03:45,,,,21.01,0,21.01,21.01,-1
2020-01-02,16,03:45,04:00,,,,21.01,0,21.01,21.01,-1
2020-01-02,17,04:00,04:15,,,28.76,21.01,0,28.76,28.76,1
2020-01-02,18,04:15,04:30,,,28.76,,0,28.76,28.76,1
2020-01-02,19,04:30,04:45,,,29.01,,0,29.01,29.01,1
2020-01-02,20,04:45,05:00,,,53.96,,0,53.96,53.96,1
2020-01-02,21,05:00,05:15,,,79.3,,0,79.3,79.3,1
2020-01-02,22,05:15,05:30,,,,,0,28.58,28.58,0
2020-01-02,23,05:30,05:45,,,29.5,,0,29.5,29.5,1
2020-01-02,24,05:45,06:00,,,53.12,,0,53.12,53.12,1
2020-01-02,25,06:00,06:15,,,60.03,,0,60.03,60.03,1
2020-01-02,26,06:15,06:30,,,41.4,,0,41.4,41.4,1
2020-01-02,27,06:30,06:45,,,142.12,,0,142.12,142.12,1
2020-01-02,28,06:45,07:00,,,350.12,,0,350.12,350.12,1
2020-01-02,29,07:00,07:15,,,350.12,-150.78,0,-150.78,-150.78,-1
2020-01-02,30,07:15,07:30,,,,-150.78,0,-150.78,-150.78,-1
2020-01-02,31,07:30,07:45,,,29.98,-150.78,0,29.98,29.98,1
2020-01-02,32,07:45,08:00,,,29.98,,0,29.98,29.98,1
2020-01-02,33,08:00,08:15,,,29.98,26.24,0,26.24,26.24,-1
2020-01-02,34,08:15,08:30,,,,26.75,0,26.75,26.75,-1
2020-01-02,35,08:30,08:45,,,29.23,,0,29.23,29.23,1
2020-01-02,36,08:45,09:00,,,29.9,,0,29.9,29.9,1
2020-01-02,37,09:00,09:15,,,33.68,,0,33.68,33.68,1
2020-01-02,38,09:15,09:30,,,44.12,,0,44.12,44.12,1
2020-01-02,39,09:30,09:45,,,30.9,,0,30.9,30.9,1
2020-01-02,40,09:45,10:00,,,108.12,,0,108.12,108.12,1
2020-01-02,41,10:00,10:15,,,332.12,,0,332.12,332.12,1
2020-01-02,42,10:15,10:30,,,44.12,,0,44.12,44.12,1
2020-01-02,43,10:30,10:45,,,30.31,,0,30.31,30.31,1
2020-01-02,44,10:45,11:00,,,34.31,,0,34.31,34.31,1
2020-01-02,45,11:00,11:15,,,332.12,,0,332.12,332.12,1
2020-01-02,46,11:15,11:30,,,30.55,,0,30.55,30.55,1
2020-01-02,47,11:30,11:45,,,38.91,,0,38.91,38.91,1
2020-01-02,48,11:45,12:00,,,39.16,,0,39.16,39.16,1
2020-01-02,49,12:00,12:15,,,332.12,,0,332.12,332.12,1
2020-01-02,50,12:15,12:30,,,36.25,,0,36.25,36.25,1
2020-01-02,51,12:30,12:45,,,30.88,,0,30.88,30.88,1
2020-01-02,52,12:45,13:00,,,34.55,,0,34.55,34.55,1
2020-01-02,53,13:00,13:15,,,38.97,,0,38.97,38.97,1
2020-01-02,54,13:15,13:30,,,39.46,,0,39.46,39.46,1
2020-01-02,55,13:30,13:45,,,35.05,,0,35.05,35.05,1
2020-01-02,56,13:45,14:00,,,34.56,,0,34.56,34.56,1
2020-01-02,57,14:00,14:15,,,44.12,,0,44.12,44.12,1
2020-01-02,58,14:15,14:30,,,37.98,,0,37.98,37.98,1
2020-01-02,59,14:30,14:45,,,35.66,,0,35.66,35.66,1
2020-01-02,60,14:45,15:00,,,31.16,,0,31.16,31.16,1
2020-01-02,61,15:00,15:15,,,29.23,,0,29.23,29.23,1
