load,price,market,model,machine
fullload,15698.456611397361,ondemand-high,SQRT,old
fullload,11031.875603780483,ondemand-med,SQRT,old
fullload,7419.66854767537,ondemand-low,SQRT,old
fullload,15384.39140237405,ondemand-high,LINEAR,old
fullload,10811.170575051416,ondemand-med,LINEAR,old
fullload,7271.229767291217,ondemand-low,LINEAR,old
peakload,883.3016215306649,ondemand-high,SQRT,old
peakload,620.7281295582408,ondemand-med,SQRT,old
peakload,417.48086589757787,ondemand-low,SQRT,old
peakload,569.2364125073547,ondemand-high,LINEAR,old
peakload,400.0231008291733,ondemand-med,LINEAR,old
peakload,269.04208551342634,ondemand-low,LINEAR,old
baseload,14815.154989866698,ondemand-high,LINEAR,old
baseload,10411.147474222247,ondemand-med,LINEAR,old
baseload,7002.187681777791,ondemand-low,LINEAR,old
baseload,14815.154989866698,ondemand-high,SQRT,old
baseload,10411.147474222247,ondemand-med,SQRT,old
baseload,7002.187681777791,ondemand-low,SQRT,old
baseload,6878.712147066865,day-ahead,SQRT,old
peakload,260.9493835244125,day-ahead,LINEAR,old
peakload,406.68694323536636,day-ahead,SQRT,old
baseload,6878.712147066865,day-ahead,LINEAR,old
fullload,7139.661530591278,day-ahead,LINEAR,old
fullload,7285.399090302231,day-ahead,SQRT,old
baseload,6640.365833002235,imbalance,SQRT,old
peakload,251.11294724033675,imbalance,LINEAR,old
peakload,390.732815361717,imbalance,SQRT,old
baseload,6640.365833002235,imbalance,LINEAR,old
fullload,6891.478780242572,imbalance,LINEAR,old
fullload,7031.098648363953,imbalance,SQRT,old
