damping,overcommission,consumption,cost
0.0,3491937907754,190.33195914736288,7017.134006602077
1.0,3839937501501,190.09671420048517,7011.026921288823
2.0,3899014145371,190.09527274243675,7010.970744426348
3.0,3928058307463,190.08811293041458,7010.758076701477
4.0,3943597292941,190.08375637484835,7010.633403029149
5.0,3952812382777,190.0814747135833,7010.589198668284
6.0,3959430897548,190.07935851175083,7010.50549327502
7.0,3963318983616,190.07856116277188,7010.483652899482
8.0,3966653120722,190.07793538114103,7010.4724832295715
9.0,3969703754960,190.0766664271135,7010.429303075565
10.0,3971288142555,190.07659568347057,7010.426542457557
11.0,3972788357435,190.07623292597017,7010.418970111078
12.0,3974751679145,190.0752390940147,7010.382208501858
13.0,3976056107967,190.07499925596727,7010.3776100936975
14.0,3977330308187,190.07451569382147,7010.367808450503
15.0,3977782410162,190.07458987993797,7010.361953291816
16.0,3978753580359,190.0741472527138,7010.348273463949
17.0,3979584177803,190.0739052102229,7010.348959911771
18.0,3980459562794,190.07357088201488,7010.336418301539
19.0,3980552466965,190.07379071862223,7010.339381988995
20.0,3981070727382,190.07359538711046,7010.328344985338
21.0,3981512832461,190.07353930766342,7010.329292569662
22.0,3982183006259,190.07323417258272,7010.322649554059
23.0,3982141300841,190.0734801808872,7010.331454503238
24.0,3982270606715,190.07347605209466,7010.324989595005
25.0,3982591015127,190.07342943424408,7010.3329839741955
26.0,3983108696766,190.07318697035694,7010.318478095498
27.0,3983547972857,190.07293622639264,7010.315372015049
28.0,3983787689747,190.0728236008357,7010.315207405644
29.0,3983891182494,190.07277791711292,7010.309425938958
30.0,3984284263473,190.07267201890355,7010.303445747776
31.0,3984194734974,190.07281030171092,7010.307919673225
32.0,3984172091723,190.07287890653615,7010.310053869157
33.0,3984118073570,190.07297411286785,7010.310933606345
34.0,3984456223436,190.072728737788,7010.307158691835
35.0,3984601191360,190.07269100195217,7010.3071495985105
36.0,3984921573360,190.07250723371658,7010.300289849611
37.0,3984979442178,190.07258565937943,7010.30361379664
38.0,3985058009110,190.07262220006442,7010.306657622801
39.0,3985120727654,190.0727131742577,7010.3052643383435
40.0,3985342851659,190.07255681279452,7010.301856453417
41.0,3985450294198,190.0725521179579,7010.298751060711
42.0,3985306297429,190.07272389846185,7010.303921676967
43.0,3985678616245,190.0724708011893,7010.296868530266
44.0,3986070398198,190.0721968654648,7010.29099260261
45.0,3985946694088,190.07232518356594,7010.294567166265
46.0,3985834833023,190.0724854422918,7010.2974106011025
47.0,3985913849300,190.07241746277288,7010.295072686157
48.0,3985973681129,190.07236751798575,7010.2951199240715
49.0,3986030920121,190.0723547424197,7010.294304761261
50.0,3986018910417,190.0724332147203,7010.297072128723
51.0,3986137073133,190.07237792466336,7010.295873313969
52.0,3986147373507,190.07239572727966,7010.296469638235
53.0,3986144124661,190.07237666527462,7010.295976403789
54.0,3986297329801,190.07224527592055,7010.292431935791
55.0,3986165204333,190.07240482336965,7010.296583097036
56.0,3986103592368,190.0724983636692,7010.298230263696
57.0,3986329457432,190.07230622645667,7010.293158267993
58.0,3986185818690,190.07240635962003,7010.296413674943
59.0,3986264055235,190.07239013889284,7010.294585177396
60.0,3986143513444,190.07250142710126,7010.296303467614
61.0,3986306509847,190.07239836934173,7010.293547303979
62.0,3986336749199,190.07239866427926,7010.292856586684
63.0,3986335222750,190.07238267164703,7010.295049483701
64.0,3986240549535,190.0724502818867,7010.296213582569
65.0,3986234470930,190.07248097198544,7010.296963662478
66.0,3986326404172,190.07243841922542,7010.296649480003
67.0,3986158634180,190.07255157245194,7010.299746432947
68.0,3986311660139,190.07243980540943,7010.296732646257
69.0,3986328116364,190.07243554341272,7010.295440653149
70.0,3986414340006,190.07243112871026,7010.296171879216
71.0,3986522383445,190.07236890033695,7010.293349037838
72.0,3986543527917,190.07234855693113,7010.292482382355
73.0,3986527119808,190.07238218516127,7010.294917220254
74.0,3986372695705,190.07253740092207,7010.299372188862
75.0,3986490220142,190.0724712147954,7010.297984092231
76.0,3986504589503,190.0724414358303,7010.296905538384
77.0,3986469361551,190.07250471436166,7010.29963237285
78.0,3986488630253,190.0725041833675,7010.297946107504
79.0,3986470627114,190.07252848647235,7010.2976688942
80.0,3986503685897,190.072516910418,7010.296786448945
81.0,3986572739411,190.0724874885949,7010.297693916398
82.0,3986590419778,190.07248414442262,7010.296955794445
83.0,3986599135704,190.07247785350876,7010.296823791229
84.0,3986545346635,190.07252944442826,7010.297490752402
85.0,3986580108348,190.07250182415726,7010.298065720268
86.0,3986561298214,190.07252821421855,7010.297769919027
87.0,3986610607003,190.07251100160346,7010.2972718572855
88.0,3986563883186,190.0725556433557,7010.299164091944
89.0,3986609293915,190.07251949731022,7010.2984006118795
90.0,3986661729514,190.07249133373608,7010.296550365398
91.0,3986647992972,190.0725139126471,7010.29841496407
92.0,3986692680271,190.07249638531,7010.29854758402
93.0,3986713931931,190.07248848441847,7010.2981196998
94.0,3986652239305,190.07253078845906,7010.2986864785025
95.0,3986661010329,190.07253730242337,7010.297318498739
96.0,3986633157057,190.07256365406442,7010.300261037898
97.0,3986628941992,190.07256621175975,7010.300354884066
98.0,3986622412200,190.0725701966209,7010.298659112954
99.0,3986645343458,190.07253778296896,7010.297729909066
100.0,3986604626487,190.07257564793545,7010.299996743417
