sigma,overcommission,consumption,cost
0,3974751679145,190.075239094015,7010.38220850186
1,3980323667527,190.070601964482,7010.32937475893
2,3991810280381,190.062525295134,7010.1116080026
3,4007259145285,190.052399915385,7009.82160863935
4,4013693335728,190.049203585137,7009.67401670295
5,4037858614864,190.033566744649,7009.35559946711
6,4046409634907,190.030450716477,7009.4320923291
7,4049568580608,190.034900606515,7009.38097974096
8,4081147975774,190.016302688616,7008.86532510984
9,4080855098113,190.025090410238,7009.21795320644
10,4096080757556,190.024033892762,7009.02567433794
11,4105609637158,190.02587162442,7009.07036682351
12,4111879223822,190.032646087686,7009.23942148943
13,4103773750211,190.049042628876,7009.70200928612
14,4131704111113,190.038623791391,7009.66635100816
15,4127464800695,190.053884842083,7009.89188639631
16,4133575826851,190.059415583595,7010.17403252556
17,4117121089173,190.084668736395,7011.0325859548
18,4126016779264,190.088411965465,7011.29345252881
19,4113403560464,190.112087470914,7011.75717660109
20,4137886608185,190.101259410481,7011.63354699496
21,4128739715279,190.120779581822,7012.18021592675
22,4133879375300,190.12410070919,7012.75918670423
23,4135663036766,190.137539673847,7013.00834286468
24,4126575262094,190.153282872383,7013.69095191678
25,4131907852009,190.158805462567,7013.85609034986
26,4127350362668,190.17155073232,7014.33980116732
27,4119127431146,190.186999093706,7015.227218655
28,4099795191668,190.219331562531,7016.01878125207
29,4111384534900,190.216097710595,7016.26419868824
30,4112222286091,190.223929034986,7016.53610069936
31,4102443300563,190.241953084174,7017.18969242588
32,4088228332428,190.258072335891,7018.11427651711
33,4111470622772,190.245461968335,7017.87429663178
34,4119201901392,190.243595735869,7018.01286953628
35,4096225478764,190.273471595436,7019.10254778544
36,4102519852107,190.273948972228,7019.18176929494
37,4094784793873,190.285925769311,7019.74866887212
38,4095764050303,190.292796648238,7019.93017030829
39,4090420469857,190.309528066339,7020.70958632656
40,4090276180089,190.312617662725,7021.15698620967
41,4078193585510,190.332828336306,7022.12167223591
42,4075503105755,190.341890990267,7021.83958275136
43,4077675311809,190.338754090951,7022.58274542634
44,4068242948076,190.35538580302,7023.38155533245
45,4061957000042,190.363311560096,7023.17819576566
46,4083974870509,190.350385515481,7023.32870928179
47,4061030708400,190.373924480378,7024.30786000189
48,4073807515556,190.367207722025,7024.2750506177
49,4052992946703,190.392634249193,7025.67180280372
50,4072858171585,190.37852954003,7025.03274465105
51,4078001821576,190.381131004579,7025.68261027738
52,4063070301910,190.395062872692,7025.7335640299
53,4066266735513,190.402358811583,7026.03851969779
54,4039791630593,190.423806461259,7027.01431508891
55,4054108989888,190.412029248544,7027.43217281199
56,4070027091817,190.40299830513,7026.80321586738
57,4066752275893,190.412326736666,7027.59337589344
58,4058607338076,190.427431138722,7027.61250712905
59,4052039759487,190.432321025054,7028.57931975573
60,4043498311237,190.441680690012,7028.6756518832
61,4027509040252,190.462662179078,7029.22211673818
62,4036971555534,190.454672305073,7029.600488122
63,4053341863532,190.443529600566,7029.75581076117
64,4038965638669,190.459841770566,7029.72006193402
65,4039985802726,190.461141053427,7030.73158245233
66,4041212948648,190.464463434261,7031.11355064215
67,4048717193725,190.456486640727,7030.89649492679
68,4049294860294,190.45886466746,7030.73309258873
69,4043699507265,190.465730956642,7030.89236555005
70,4026166254940,190.484962002655,7031.75553193837
71,4057375475088,190.461057541932,7031.66332725122
72,4056858556409,190.463346836167,7031.92601888333
73,4007069040966,190.511944212692,7033.01194275637
74,4045855975323,190.481257864328,7032.72600946702
75,4027993621934,190.4973653301,7033.62617705557
76,4032904725923,190.491540030245,7032.9944123209
77,4014007009254,190.51614974043,7033.90391183867
78,4049964462938,190.480955080876,7033.27445324321
79,4007948440942,190.525368312111,7033.98609681248
80,3995156279861,190.537208600068,7034.66096309303
81,4031824865937,190.509458719137,7035.32207339974
82,4044637701159,190.494447131683,7034.30239809681
83,4047204104488,190.49394664904,7034.9762112896
84,4016662541035,190.526512147646,7035.28403374936
85,4018285052659,190.524619889109,7036.15797487147
86,4026911414207,190.522750611187,7035.6858040336
87,4045802166222,190.50689986141,7035.30770482891
88,4024634008368,190.522250330454,7036.06105449867
89,4000940361797,190.551546279458,7037.16719387556
90,3993871373544,190.555178739401,7037.28559384799
91,4036288543146,190.521512501068,7036.94164236039
92,4026541576752,190.526140095946,7036.93255937763
93,4022791373067,190.533377041861,7038.06378388146
94,4005007050181,190.550194364108,7038.05030749113
95,4006190859155,190.552501393299,7038.17704519225
96,4019478363976,190.539282471391,7038.24349428425
97,4028818664391,190.539615113197,7038.29793092479
98,4041160411714,190.523307261897,7037.43235662369
99,4008282903674,190.55679012755,7039.33662979847
100,3996366880712,190.574058655348,7039.67617029702
101,4025401829756,190.545022500304,7039.49799502593
102,4008920770094,190.558666781577,7039.23937080961
103,4021888017496,190.547847567134,7039.6656155421
104,4009140930850,190.565778417789,7039.60010024552
105,4036171076686,190.541696637962,7039.40209550366
106,3998821684913,190.578465702487,7040.99433085313
107,4024035483760,190.551358647864,7040.41206685475
108,4014227201300,190.561856301306,7040.73514075074
109,4025636994723,190.552597202635,7040.8597701328
110,4027669565118,190.549002287144,7040.46482394766
111,3998630959450,190.584045372928,7041.78972626349
112,4002428936378,190.578659158029,7041.5785723254
113,4023762729128,190.557243581938,7041.59096474121
114,4008816038142,190.570860718662,7042.45467881726
115,3994477080442,190.592245435906,7042.8259717885
116,3987884140410,190.598816496061,7042.82205321734
117,4011090413826,190.5778523823,7042.34893575277
118,4004000285434,190.585058660012,7043.11752328742
119,3995851749175,190.594934912,7043.36952249428
120,4014960813186,190.577462633437,7043.84195309819
121,4001535351897,190.585784403812,7043.43509533782
122,4003077935296,190.589137457769,7044.32783543141
123,4003859916247,190.58535548168,7043.84813015054
124,4019155831020,190.569237685601,7044.86837720833
125,4020249132551,190.578990010679,7044.92503905221
126,4011953283724,190.581484117419,7045.04216581844
127,3995331097167,190.605303365614,7044.74305009446
128,4015020141928,190.581626659828,7045.09659899122
129,3975464261787,190.620074862616,7045.53751806334
130,4016514752685,190.582004255776,7045.12486240663
131,4004077395051,190.588901495226,7045.29477951278
132,4012856167834,190.59112243777,7045.5760284449
133,4007674464030,190.592913497917,7045.87790272725
134,3987190136021,190.610770239177,7046.35406324569
135,4036171453026,190.565728316276,7045.56214989421
136,3987321420625,190.617404411267,7047.35617246911
137,4002037035156,190.603206502024,7046.50258989716
138,3991160617093,190.610315755201,7047.11027481511
139,4005001979041,190.598681367931,7047.21457787461
140,3989832243330,190.615037779782,7047.85843481783
141,4010176622349,190.595738904268,7047.54725204611
142,3997885006252,190.607780372297,7047.07182746119
143,4000584766740,190.607194101257,7048.10397163097
144,3981905311004,190.627273561562,7047.90728423636
145,4010661915690,190.603437269192,7048.77264109727
146,3990690704731,190.620689544661,7049.21057486439
147,4016547140674,190.596307744481,7048.633837044
148,4013297188421,190.599409822342,7049.03878535574
149,4004525217112,190.608638749727,7048.80136186183
150,3995476526434,190.619738684493,7049.29986878113
151,3983236646799,190.62648588074,7050.19626014759
152,3981745245518,190.632552946903,7050.66681789432
153,4005627761263,190.604593108103,7049.13739230524
154,3988294505536,190.627235569472,7049.70059967425
155,3989221538058,190.62649938998,7050.18835212625
156,3962198214900,190.65248106783,7050.84765534546
157,3983648758362,190.635587555113,7050.96962728867
158,3985159433366,190.630018310392,7050.72363495888
159,3995783282800,190.620423367225,7050.66321118276
160,3987312710528,190.630417798921,7051.76104911439
